,Unnamed: 0,Unnamed: 0_x,name,id,Unnamed: 0_y,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,end_time,ms_played,artist_name
1015,1024,1024,Unke Rangon Mein,33k5PdmBBBvjFrYFnTqrzF,981,0.588,0.473,10,-10.212,1,0.0455,0.728,0.000128,0.12,0.421,76.023,audio_features,spotify:track:33k5PdmBBBvjFrYFnTqrzF,https://api.spotify.com/v1/tracks/33k5PdmBBBvjFrYFnTqrzF,https://api.spotify.com/v1/audio-analysis/33k5PdmBBBvjFrYFnTqrzF,172105,4,2023-11-12 17:43,172105,Ashwin Adwani
1016,1025,1025,Roobaroo,76jQWxN8ZeJ6pkSWUTHDrX,982,0.675,0.582,9,-8.891,1,0.0277,0.661,5.56e-06,0.0854,0.538,120.991,audio_features,spotify:track:76jQWxN8ZeJ6pkSWUTHDrX,https://api.spotify.com/v1/tracks/76jQWxN8ZeJ6pkSWUTHDrX,https://api.spotify.com/v1/audio-analysis/76jQWxN8ZeJ6pkSWUTHDrX,282973,4,2023-11-12 17:48,282973,A.R. Rahman
1017,1026,1026,Na Tum Jaano,7s6yy0SWZ4rluoQZsvJa2D,983,0.507,0.519,9,-11.197,1,0.0451,0.325,0.00062,0.0566,0.584,179.461,audio_features,spotify:track:7s6yy0SWZ4rluoQZsvJa2D,https://api.spotify.com/v1/tracks/7s6yy0SWZ4rluoQZsvJa2D,https://api.spotify.com/v1/audio-analysis/7s6yy0SWZ4rluoQZsvJa2D,383213,4,2023-11-12 17:51,194142,Ashwani Gupta
1018,1027,1027,Ek aisi subah,0WQ7D9M6PpeCBhrKBlJJXw,984,0.354,0.46,1,-11.907,1,0.0424,0.65,3.83e-05,0.337,0.291,133.974,audio_features,spotify:track:0WQ7D9M6PpeCBhrKBlJJXw,https://api.spotify.com/v1/tracks/0WQ7D9M6PpeCBhrKBlJJXw,https://api.spotify.com/v1/audio-analysis/0WQ7D9M6PpeCBhrKBlJJXw,265987,3,2023-11-12 18:03,182862,Divyansh Kacholia (DVK)
1019,1028,1028,Voh Dekhnay Mein,0EMYTe2oQy70PCKPQFlbVy,985,0.815,0.421,0,-8.125,1,0.0352,0.491,4.41e-06,0.117,0.543,140.01,audio_features,spotify:track:0EMYTe2oQy70PCKPQFlbVy,https://api.spotify.com/v1/tracks/0EMYTe2oQy70PCKPQFlbVy,https://api.spotify.com/v1/audio-analysis/0EMYTe2oQy70PCKPQFlbVy,272453,4,2023-11-12 18:17,272453,Ali Zafar
1020,1029,1029,Mann Bawara,7JuOr6DF911fVvQIeMzGYF,986,0.393,0.576,2,-3.735,1,0.0316,0.724,0.0,0.0678,0.243,123.002,audio_features,spotify:track:7JuOr6DF911fVvQIeMzGYF,https://api.spotify.com/v1/tracks/7JuOr6DF911fVvQIeMzGYF,https://api.spotify.com/v1/audio-analysis/7JuOr6DF911fVvQIeMzGYF,276522,5,2023-11-12 18:21,244528,Ashwani Gupta
1021,1030,1030,"Kya Karoon? (From ""Wake Up Sid "")",4Yp8zw7b35bheMVTp39o5O,403,0.594,0.548,9,-7.588,0,0.0267,0.611,0.00146,0.117,0.374,98.014,audio_features,spotify:track:4Yp8zw7b35bheMVTp39o5O,https://api.spotify.com/v1/tracks/4Yp8zw7b35bheMVTp39o5O,https://api.spotify.com/v1/audio-analysis/4Yp8zw7b35bheMVTp39o5O,236160,4,2023-11-12 18:25,236160,Shankar-Ehsaan-Loy
1022,1031,1031,"Safar (From ""Jab Harry Met Sejal"")",3BpaZLc6j9cBUsvnh5kinR,987,0.307,0.604,7,-5.592,1,0.0397,0.593,3.79e-06,0.0789,0.452,85.641,audio_features,spotify:track:3BpaZLc6j9cBUsvnh5kinR,https://api.spotify.com/v1/tracks/3BpaZLc6j9cBUsvnh5kinR,https://api.spotify.com/v1/audio-analysis/3BpaZLc6j9cBUsvnh5kinR,365669,5,2023-11-12 18:32,150711,Pritam
1023,1032,1032,Hope,4BiiOzZCrXEzHRLYcYFiD5,988,0.773,0.699,1,-5.982,0,0.0958,0.488,3.6e-06,0.0814,0.513,104.941,audio_features,spotify:track:4BiiOzZCrXEzHRLYcYFiD5,https://api.spotify.com/v1/tracks/4BiiOzZCrXEzHRLYcYFiD5,https://api.spotify.com/v1/audio-analysis/4BiiOzZCrXEzHRLYcYFiD5,180120,4,2024-03-11 03:44,2661362,The Chainsmokers
1024,1033,1033,Dance The Night - From Barbie The Album,11C4y2Yz1XbHmaQwO06s9f,989,0.671,0.845,11,-4.93,0,0.048,0.0207,0.0,0.329,0.775,110.056,audio_features,spotify:track:11C4y2Yz1XbHmaQwO06s9f,https://api.spotify.com/v1/tracks/11C4y2Yz1XbHmaQwO06s9f,https://api.spotify.com/v1/audio-analysis/11C4y2Yz1XbHmaQwO06s9f,176579,4,2023-11-17 08:42,7232,Dua Lipa
