,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
566,40VqYKBAJP901tpuq6WMt7,0.766,0.816,1,-5.092,1,0.152,0.0148,0.0142,0.114,0.613,153.013,audio_features,spotify:track:40VqYKBAJP901tpuq6WMt7,https://api.spotify.com/v1/tracks/40VqYKBAJP901tpuq6WMt7,https://api.spotify.com/v1/audio-analysis/40VqYKBAJP901tpuq6WMt7,204150,4
567,3zIhQR5cyxpVn8WpEivBCr,0.781,0.488,1,-9.138,1,0.317,0.0515,0.00000968,0.1,0.449,139.899,audio_features,spotify:track:3zIhQR5cyxpVn8WpEivBCr,https://api.spotify.com/v1/tracks/3zIhQR5cyxpVn8WpEivBCr,https://api.spotify.com/v1/audio-analysis/3zIhQR5cyxpVn8WpEivBCr,180558,4
568,1T44wPr7LUlBY4vX6LlygG,0.816,0.767,5,-3.592,1,0.323,0.0346,0,0.228,0.835,141.769,audio_features,spotify:track:1T44wPr7LUlBY4vX6LlygG,https://api.spotify.com/v1/tracks/1T44wPr7LUlBY4vX6LlygG,https://api.spotify.com/v1/audio-analysis/1T44wPr7LUlBY4vX6LlygG,169014,4
569,4Ftlq5D5qLItzxFFHh0pSt,0.254,0.573,1,-6.772,1,0.0374,0.488,0,0.127,0.132,78.931,audio_features,spotify:track:4Ftlq5D5qLItzxFFHh0pSt,https://api.spotify.com/v1/tracks/4Ftlq5D5qLItzxFFHh0pSt,https://api.spotify.com/v1/audio-analysis/4Ftlq5D5qLItzxFFHh0pSt,264728,4
570,28NzgzNmoHRsFKihGxpmmV,0.758,0.771,9,-6.738,0,0.0627,0.00262,0.0000649,0.0257,0.525,121.994,audio_features,spotify:track:28NzgzNmoHRsFKihGxpmmV,https://api.spotify.com/v1/tracks/28NzgzNmoHRsFKihGxpmmV,https://api.spotify.com/v1/audio-analysis/28NzgzNmoHRsFKihGxpmmV,187764,4
571,35mvY5S1H3J2QZyna3TFe0,0.737,0.802,0,-4.771,1,0.0878,0.468,0,0.0931,0.682,144.015,audio_features,spotify:track:35mvY5S1H3J2QZyna3TFe0,https://api.spotify.com/v1/tracks/35mvY5S1H3J2QZyna3TFe0,https://api.spotify.com/v1/audio-analysis/35mvY5S1H3J2QZyna3TFe0,172325,4
572,6NvotZY0HWKaV4MWRlJQt6,0.647,0.539,9,-8.112,0,0.0276,0.416,0.00142,0.104,0.897,95.014,audio_features,spotify:track:6NvotZY0HWKaV4MWRlJQt6,https://api.spotify.com/v1/tracks/6NvotZY0HWKaV4MWRlJQt6,https://api.spotify.com/v1/audio-analysis/6NvotZY0HWKaV4MWRlJQt6,152294,4
573,6VkmdRz8YgHFQV3ZNTJAWU,0.711,0.411,9,-6.657,1,0.035,0.594,0,0.0903,0.791,73.997,audio_features,spotify:track:6VkmdRz8YgHFQV3ZNTJAWU,https://api.spotify.com/v1/tracks/6VkmdRz8YgHFQV3ZNTJAWU,https://api.spotify.com/v1/audio-analysis/6VkmdRz8YgHFQV3ZNTJAWU,160612,4
574,1CIv5KTqFpmCgqj4Mke2bh,0.665,0.858,11,-5.644,1,0.0396,0.101,0.0000679,0.065,0.846,130.049,audio_features,spotify:track:1CIv5KTqFpmCgqj4Mke2bh,https://api.spotify.com/v1/tracks/1CIv5KTqFpmCgqj4Mke2bh,https://api.spotify.com/v1/audio-analysis/1CIv5KTqFpmCgqj4Mke2bh,273467,4
575,7a77VY7mjvK6EiaBeOosmk,0.598,0.887,9,-6.992,1,0.0802,0.0284,0.00000584,0.166,0.704,159.977,audio_features,spotify:track:7a77VY7mjvK6EiaBeOosmk,https://api.spotify.com/v1/tracks/7a77VY7mjvK6EiaBeOosmk,https://api.spotify.com/v1/audio-analysis/7a77VY7mjvK6EiaBeOosmk,206250,4
576,3Ra4rkq1ExwPXwrPQeHBWg,0.179,0.048,6,-28.663,1,0.0469,0.889,0.974,0.0775,0.0278,72.93,audio_features,spotify:track:3Ra4rkq1ExwPXwrPQeHBWg,https://api.spotify.com/v1/tracks/3Ra4rkq1ExwPXwrPQeHBWg,https://api.spotify.com/v1/audio-analysis/3Ra4rkq1ExwPXwrPQeHBWg,148813,4
577,2stkLJ0JNcXkIRDNF3ld6c,0.689,0.333,0,-12.134,0,0.0307,0.817,0.00000513,0.285,0.471,115.835,audio_features,spotify:track:2stkLJ0JNcXkIRDNF3ld6c,https://api.spotify.com/v1/tracks/2stkLJ0JNcXkIRDNF3ld6c,https://api.spotify.com/v1/audio-analysis/2stkLJ0JNcXkIRDNF3ld6c,124160,4
578,4nIC7MaMsYRBhDPWMy7d5D,0.256,0.251,9,-15.064,1,0.032,0.786,0.91,0.0918,0.0382,86.417,audio_features,spotify:track:4nIC7MaMsYRBhDPWMy7d5D,https://api.spotify.com/v1/tracks/4nIC7MaMsYRBhDPWMy7d5D,https://api.spotify.com/v1/audio-analysis/4nIC7MaMsYRBhDPWMy7d5D,113032,4
